id_local;rotulo;norm;rotulo_t1
290000540;ALIPIO RAMOS;ALIPIO RAMOS;TABERNA ALIPIO RAMOS
270076696;DE BUENA TINTA;DE BUENA TINTA;COMERCIO AL POR MENOR PARA TEXTILES PARA EL HOGAR
270192626;EL RINCON DE MANOLO L15/ ANTIGUO PUESTO 68-69;EL RINCON DE MANOLO L15 ANTIGUO PUESTO 68 69;CARNICERIA Y DERIVADOS CON BARRA DE DEGUSTACION LOCAL 68 69
270508319;FNAC;FNAC;FNAC CALLAO
110004047;CARDYS PREFESSIONAL SALON;CARDYS PREFESSIONAL SALON;ROTULO OPACO
60002657;EL BARRIO;EL BARRIO;CAFETERIA EL BARRIO
270564254;COMEDOR CENTRO INFANTIL Y PRIMARIA CEIP;COMEDOR CENTRO INFANTIL Y PRIMARIA CEIP;COMEDOR CEIP PUERTO RICO
285011827;ANA PABON BIOESTÉTICA;ANA PABON BIOESTETICA;ROTULO NO INFORMADO
280060239;BARCOS;BARCOS;AVICOLA BARCOS
270066174;PROJARDIN;PROJARDIN;E I PROJARDIN RETIRO I
270316134;FRUTAS Y VERDURAS SANTI;FRUTAS Y VERDURAS SANTI;SIN ROTULO
270534228;PESCADERIA MARES GALLEGOS;PESCADERIA MARES GALLEGOS;CARNICERIA
270530761;DON FRUTA;DON FRUTA;FRUTAS Y VERDURAS
100000177;COLEGIO BEATA FILIPINAS;COLEGIO BEATA FILIPINAS;COLEGIO BEATA FILIPINA
20001413;INSTALACIONES ELECTRICAS LUXEM;INSTALACIONES ELECTRICAS LUXEM;GUARDERIA
270565053;LA TABERNA DE DOMINGUEZ;LA TABERNA DE DOMINGUEZ;LA TABERNITA DE DOMINGUEZ
270322543;PUB NOCHES;PUB NOCHES;SIN ROTULO
270443196;TALLERES BARIN;TALLERES BARIN;ALMACEN PRODUCTOS DE ALIMENTACION
90001670;GASTROBAR ROSALES;GASTROBAR ROSALES;GASTROBAR 36
270219223;SIN DEFINIR;SIN DEFINIR;SIN ROTULO
285006707;SAVAL ARREGLOS;SAVAL ARREGLOS;ALIMENTACION
280070917;LA ESQUINA DE SILVANO (CARNICERIA);LA ESQUINA DE SILVANO CARNICERIA;CARNICERIA SILVANO
280006894;SANABRIA PLATOS PREPARADOS (PTOS.45-46);SANABRIA PLATOS PREPARADOS PTOS 45 46;ALIMENTACION SANABRIA
40002349;SOFAS CRUCES                                      ;SOFAS CRUCES;SOFAS CAMAS CRUCES
270574702;BURGER KING;BURGER KING;BURGER KING CANAVERAL
