id_local;rotulo;rot_norm_t0;rot_norm_t1;sospechoso
270574665;ROTULO NO INFORMADO;ROTULO NO INFORMADO;JIJONENCA;False
40000998;SPECIALITY COFFE;SPECIALITY COFFE;SPECIALITY COFFEE;True
70001550;BURGER HOUSE;BURGER HOUSE;CONVEXO;False
285042834;RAMIRO PEREZ JAMONES, QUESOS, CARNES;RAMIRO PEREZ JAMONES QUESOS CARNES;REMIRO PEREZ;False
30001127;COUZAPIN PARRILLA;COUZAPIN PARRILLA;BUSGOSU;False
280064658;PESCADERIA HNOS FERNANDEZ;PESCADERIA HNOS FERNANDEZ;ASISTENCIA MEDICA;False
280064155;CYPER;CYPER;GUARDERIA DE DIA CHANCHAN;False
280065213;RÓTULO NO INFORMADO;ROTULO NO INFORMADO;CENTRO ESTETICA TATUAJE FOTODEPIL;False
270415822;BAR SIN COCINA;BAR SIN COCINA;DISCOTECA COPACABANA;False
190000234;BAR CALAHORRA;BAR CALAHORRA;BAR MONTADITOS Y TAPAS;False
270537321;BOMBAY PALACE;BOMBAY PALACE;CAFE BUCOLICO;False
280020014;PATINETES;PATINETES;PATINETES WEI;False
270560666;RESTAURACION COLEGIO MONSERRAT;RESTAURACION COLEGIO MONSERRAT;COLEGIO MONSERRAT FUHEN;False
20001845;EL HAYEDO;EL HAYEDO;MISS SUSHI;False
280039490;CAFÉ-BAR (P28, P29 Y P30);CAFE BAR P28 P29 Y P30;CAFE BAR LA DESHAUCIADA P28 P29 Y P30;False
270184850;AMIGOS CON HUELLA;AMIGOS CON HUELLA;TRUFITA PETLOVER;False
270435593;PASTELERIA;PASTELERIA;ALIMENTACION;False
285000085;WAY CUP;WAY CUP;CORAZON DE MAIZ;False
280002422;TOYS'N SOLDIERS ;TOYS N SOLDIERS;SALON NOELIA MARCO BEAUTY;False
270532090;FRUTAS Y VERDURAS DHAKA;FRUTAS Y VERDURAS DHAKA;FRUTAS Y VERDURAS TAREK;True
40002034;COTICO;COTICO;BANGALORE;False
285001003;BATACHA;BATACHA;L M LASHES AND GO;False
90000833;EL VERGEL DE LA VILLA;EL VERGEL DE LA VILLA;SOMA SHC;False
270403411;COMERCIO MERCHANDISING;COMERCIO MERCHANDISING;PADIS;False
270569202;RESTAURANTE;RESTAURANTE;KFC;False
40001111;LA MANDUCA;LA MANDUCA;LA MANDUCA GASTROBAR;False
270266631;MOVISTAR COMPLUTEL;MOVISTAR COMPLUTEL;ASIAN MIX SUSHI;False
280044450;AUSBANC;AUSBANC;LEAME BEAUTY ZONE;False
110003006;JOSE FLOR;JOSE FLOR;CARNICERIA DISLA;False
60000942;LE PETIT BOMBON;LE PETIT BOMBON;BAR JUANITO AZCA;False
280038734;NO SOLICITADO;NO SOLICITADO;FISIOTERAPIA ALENZA;False
270069349;LA ZAHURDA;LA ZAHURDA;V MENOR EMBUTIDOS CON BARRA;False
285018981;ZAPATERIA;ZAPATERIA;ACCEL MOBILE;False
270570543;CMR INFINITA H5;CMR INFINITA H5;FRUIT CMR H5;False
270561561;ESTETICA;ESTETICA;TROPICAL NAILIS;False
280023304;SALON DE BELLEZA NEW ESTYLE;SALON DE BELLEZA NEW ESTYLE;SALON DE BELLEZA NON STOP BEAUTY;False
270569578;MADRID CAJA MAGICA (CRESALBA EVENTOS);MADRID CAJA MAGICA CRESALBA EVENTOS;MADRID CAJA MAGICA RODILLA PUESTO 5;False
270320024;MUESTRA CORPORATIVA;MUESTRA CORPORATIVA;RESTAURANTE JAPONES MIHO;False
285024613;ROTULO NO INFORMADO;ROTULO NO INFORMADO;SANEAMIENTOS DUQUE;False
280044900;TABERNA SUA;TABERNA SUA;BAR GARAJE;False
