id_local;rotulo;desc_epigrafe;desc_distrito_local;desc_barrio_local;coordenada_x;coordenada_y;probabilidad;decil_riesgo
10000003;VITACA;BAR RESTAURANTE;CENTRO;JUSTICIA;440554.6;4475338.5;0.06296999620205089;8
10000004;ZAATAR & CO;RESTAURANTE;CENTRO;UNIVERSIDAD;439945.6;4475591.5;0.06296999620205089;8
10000013;HOTEL MEDIODIA;HOTELES Y MOTELES SIN RESTAURANTE;CENTRO;EMBAJADORES;441199.6;4473326.5;0.034828363818591834;6
10000052;MUNE;BAR RESTAURANTE;CENTRO;JUSTICIA;440875.6;4475142.5;0.06296999620205089;8
10000071;LA DESCUBIERTA;RESTAURANTE;CENTRO;SOL;440388.6;4474077.5;0.05718511215183633;8
10000093;LA REVOLTOSA;CAFETERIA;CENTRO;JUSTICIA;440953.6;4474656.5;0.055290753098188754;8
10000102;LA MALLORQUINA;COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA CON OBRADOR;CENTRO;SOL;440208.6;4474240.5;0.037236428891879766;7
10000105;LA MORDIDA;RESTAURANTE;CENTRO;JUSTICIA;440958.6;4475092.5;0.05718511215183633;8
10000162;POLLERIA ALIAN BARCELO (PTO. 101);COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR;CENTRO;JUSTICIA;0.0;0.0;0.07505360972122944;10
10000310;CEIP ANTONIO MORENO ROSALES;SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL;CENTRO;EMBAJADORES;440498.6;4473664.5;0.04084720121028744;8
10000319;TRES CERDITOS EMPANADERIA;RESTAURANTE;CENTRO;PALACIO;439418.6;4473699.5;0.06296999620205089;8
10000327;BAR EL ENCUENTRO;BAR RESTAURANTE;CENTRO;PALACIO;439844.6;4474692.5;0.06296999620205089;8
10000412;LA VACA VERONICA;BAR RESTAURANTE;CENTRO;CORTES;441011.6;4473777.5;0.06296999620205089;8
10000413;AFTER 8;BAR ESPECIAL SIN ACTUACIONES;CENTRO;CORTES;440408.6;4474047.5;0.06296999620205089;8
10000422;C.E.I.P. VAZQUEZ DE MELLA;CENTRO DE INFANTIL Y PRIMARIA PUBLICO;CENTRO;PALACIO;439405.6;4473780.5;0.021380211426535217;2
10000455;CASA RUA;BAR CON COCINA;CENTRO;SOL;439909.6;4474131.5;0.037236428891879766;7
10000462; PALAZZO;COMERCIO AL POR MENOR DE HELADOS SIN OBRADOR;CENTRO;SOL;440282.6;4474300.5;0.06296999620205089;8
10000463;VIANDAS DE SALAMANCA;ESTABLECIMIENTOS DE VENTA DE PLATOS PREPARADOS CON OBRADOR;CENTRO;SOL;440195.6;4474478.5;0.06296999620205089;8
10000478;HOTEL NH NACIONAL;HOTELES Y MOTELES CON RESTAURANTE;CENTRO;CORTES;441226.6;4473481.5;0.021380211426535217;2
10000481;BAREA Y TAPEA;CAFETERIA;CENTRO;PALACIO;439522.6;4473276.5;0.055290753098188754;8
10000511;BAJO CERO;CAFETERIA;CENTRO;PALACIO;439678.6;4474385.5;0.055290753098188754;8
10000530;LA  TAURINA;BAR RESTAURANTE;CENTRO;SOL;440477.6;4474250.5;0.06296999620205089;8
