desc_distrito_local,desc_barrio_local,n_locales,riesgo_medio,riesgo_maximo,pct_decil_10,latitud,longitud,n_con_coord
VICALVARO,EL CAÑAVERAL,81,0.05782,0.11833,30.86,40.403561,-3.559323,81
SALAMANCA,RECOLETOS,1199,0.04972,0.13158,14.1,40.424815,-3.685288,1113
SALAMANCA,CASTELLANA,831,0.04927,0.11833,14.8,40.433787,-3.683789,760
RETIRO,IBIZA,700,0.04853,0.11833,21.29,40.41861,-3.6752,668
SALAMANCA,GOYA,1217,0.04818,0.11833,16.52,40.425328,-3.674784,1183
VICALVARO,VALDERRIVAS,58,0.04771,0.07505,18.97,40.399595,-3.602127,55
SALAMANCA,LISTA,725,0.04753,0.11833,15.45,40.431688,-3.675302,711
VICALVARO,VALDEBERNARDO,201,0.04748,0.11833,21.39,40.39885,-3.621398,189
VILLAVERDE,SAN CRISTOBAL,163,0.04648,0.2,15.34,40.342603,-3.689093,153
CENTRO,JUSTICIA,1385,0.04642,0.13158,19.93,40.423526,-3.697647,1270
TETUAN,CUATRO CAMINOS,1394,0.04637,0.2,28.26,40.451196,-3.698312,1098
CENTRO,PALACIO,1267,0.0453,0.11833,21.47,40.414775,-3.710796,1144
VILLAVERDE,LOS ANGELES,510,0.04515,0.13158,16.08,40.355452,-3.696915,481
CENTRO,UNIVERSIDAD,1719,0.04463,0.2,18.96,40.425015,-3.705667,1610
TETUAN,CASTILLEJOS,694,0.04451,0.2,25.07,40.460244,-3.695227,688
VICALVARO,CASCO H.VICALVARO,733,0.04423,0.11833,15.69,40.403934,-3.604455,710
CENTRO,CORTES,866,0.04378,0.11833,14.55,40.414228,-3.697976,851
SALAMANCA,FUENTE DEL BERRO,549,0.04359,0.11833,14.94,40.426183,-3.66538,521
CENTRO,SOL,1210,0.04311,0.11833,11.4,40.417037,-3.70496,1080
MORATALAZ,VINATEROS,190,0.0429,0.11833,16.32,40.405656,-3.64429,179
SALAMANCA,GUINDALERA,1033,0.04259,0.11833,13.55,40.435101,-3.668798,971
VILLAVERDE,LOS ROSALES,583,0.04238,0.13158,19.04,40.353806,-3.688953,560
RETIRO,PACIFICO,840,0.04211,0.11833,13.93,40.404732,-3.677512,773
VILLA DE VALLECAS,ENSANCHE DE VALLECAS,493,0.04175,0.11833,9.94,40.367284,-3.602104,437
VILLAVERDE,BUTARQUE,199,0.0417,0.13158,17.09,40.347193,-3.677915,183
CHAMBERI,GAZTAMBIDE,992,0.0414,0.11833,13.1,40.434669,-3.714611,972
CENTRO,EMBAJADORES,2038,0.04139,0.2,12.56,40.40977,-3.70319,1835
MORATALAZ,MARROQUINA,532,0.04086,0.2,15.79,40.408737,-3.643994,520
RETIRO,ADELFAS,280,0.04057,0.11833,16.43,40.400849,-3.671251,272
CHAMBERI,ARAPILES,837,0.04057,0.11833,12.78,40.434309,-3.708291,773
CHAMBERI,TRAFALGAR,1038,0.04025,0.11833,12.33,40.432763,-3.701289,1019
MORATALAZ,FONTARRON,193,0.03973,0.07798,14.51,40.402252,-3.64595,187
CHAMBERI,ALMAGRO,803,0.0393,0.11833,10.34,40.433314,-3.69464,754
CHAMBERI,RIOS ROSAS,935,0.03878,0.11833,10.16,40.442362,-3.698412,862
TETUAN,BERRUGUETE,594,0.03875,0.2,18.01,40.458623,-3.704458,568
TETUAN,BELLAS VISTAS,724,0.03831,0.2,18.92,40.451921,-3.706284,710
RETIRO,ESTRELLA,276,0.03797,0.11833,13.04,40.412903,-3.66735,241
BARAJAS,CORRALEJOS,159,0.03723,0.11833,6.29,40.464012,-3.603983,107
MORATALAZ,MEDIA LEGUA,258,0.0372,0.07505,11.24,40.410046,-3.656505,242
TETUAN,VALDEACEDERAS,564,0.03716,0.13158,20.92,40.465336,-3.700117,504
RETIRO,LOS JERONIMOS,238,0.03693,0.11833,9.66,40.412681,-3.687133,227
BARAJAS,CASCO H.BARAJAS,259,0.03692,0.07798,6.95,40.472576,-3.579557,253
MONCLOA-ARAVACA,EL PLANTIO,141,0.03685,0.07505,7.09,40.468813,-3.817039,129
RETIRO,NIÑO JESUS,330,0.03682,0.08455,12.12,40.411492,-3.673332,308
CHAMBERI,VALLEHERMOSO,526,0.03548,0.11833,8.17,40.44216,-3.711364,499
MORATALAZ,HORCAJO,67,0.03522,0.13158,13.43,40.406946,-3.629462,66
TETUAN,ALMENARA,521,0.03485,0.11833,19.58,40.469421,-3.693901,460
CIUDAD LINEAL,COSTILLARES,259,0.03465,0.11833,9.65,40.47881,-3.667984,247
