id_local;rotulo_2021;rotulo_2022;desc_epigrafe;desc_distrito_local;era_cierre_real
150002689;PERFUMERIA OCEANO;MUESTRA OPACA Y BANDEROLA;COMERCIO AL POR MENOR DE PRODUCTOS DE DROGUERIA;CIUDAD LINEAL;1
20001326;RESTAURANTE RIOJANOS MADRID;RESTAURANTE  DE MADRID;BAR CON COCINA;ARGANZUELA;1
270043402;ALIMENTACION QUIROGA;SIN RÓTULO;COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO);CENTRO;0
270143304;GRAFFITI STORE;COMERCIO DE PAPELERIA Y LIBRERIA;COMERCIO AL POR MENOR DE PERIODICOS, REVISTAS Y ARTICULOS DE PAPELERIA;LATINA;1
270163233;PELUQUERIA MÂª CARMEN;PELUQUERIA Mª CARMEN;SERVICIO DE PELUQUERIA;PUENTE DE VALLECAS;0
270223792;BAR ADC;SIN ROTULO;CAFETERIA;CENTRO;0
270271651;FRUTERIA ALICIA PTO 17;FRUTERÍA PTO 17, ALICIA;COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR;VICALVARO;0
270375553;CARMELA ROSSO;CENTRO ESTETICA;COMERCIO AL POR MENOR DE PRENDAS DE VESTIR EN ESTABLECIMIENTOS ESPECIALIZADOS;SALAMANCA;1
270414157;LOS 3 HERMANOS;MERCADO TRADICIONAL PREMIUM LOS 3 HERMANOS;COMERCIO AL POR MENOR DE CHARCUTERIA;VILLAVERDE;0
270543415;ORENES;ORENES SPORTS BAR & SALON DE JUEGOS;SALONES DE RECREO Y DIVERSION Y OTRAS ACTIVIDADES RECREATIVAS;USERA;0
270546560;MERCADO SAN MIGUEL;MERCADO SAN MIGUEL (ZONAS COMUNES);LOCAL SIN ACTIVIDAD;CENTRO;0
270557058;ESPACIO CERVECERO MAHOU;POR DETERMINAR;BAR CON COCINA;CHAMBERI;0
270563548;Â¡MADRID!;¡MADRID!;ACTIVIDADES DE CREACION, ARTISTICAS Y ESPECTACULOS;SALAMANCA;0
270569314;MERCERIA;MERCERIA SIGUIENDO EL HILO;ARREGLO DE ROPA;VICALVARO;0
270572877;CAMPAMENTO DE VERANO C.P. CALVO SOTELO;CAMPAMENTOS DEL C.P. CALVO SOTELO;ENSEÑANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA);RETIRO;0
270574715;CAMPAMENTO DE VERANO CEIP CALDERON DE LA BARCA;CAMPAMENTO URBANO CEIP CALDERON DE LA BARCA;SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL;BARAJAS;0
280008282;SANTOS;ALPHAVILLE SANTOS;COMERCIO AL POR MENOR DE MUEBLES;CENTRO;0
280009651;TAKE AWAY RICE;RESTAURANTE;ESTABLECIMIENTOS DE VENTA DE PLATOS PREPARADOS SIN OBRADOR;CENTRO;1
280063076;LA CAIXA;BAR- RESTAURANTE;INTERMEDIACION MONETARIA: BANCOS, CAJAS DE AHORRO;VILLAVERDE;1
280073550;BBVA;POR DETERMINAR;INTERMEDIACION MONETARIA: BANCOS, CAJAS DE AHORRO;CIUDAD LINEAL;0
285032030;MOTOS SPEED BIKE, S.L.;POR DETERMINAR;DEPOSITO Y ALMACENAMIENTO;VILLA DE VALLECAS;0
285034684;LOBERA BAR;MUESTRA OPACA SOBRE EL DINTEL;BAR CON COCINA;PUENTE DE VALLECAS;1
40001070;WANG JIALUAN;ALIMENTACIÓN FRUTOS SECOS;COMERCIO AL POR MENOR DE FRUTOS SECOS Y VARIANTES;SALAMANCA;1
60002563;PELUQUERIA MÂª DEL CARMEN;PELUQUERIA Mª DEL CARMEN;SERVICIO DE PELUQUERIA;TETUAN;0
80000506;CENTRO COMUNITARIO GUATEMALA-ESTUDIO 3 AFANIAS;CENTRO COMUNITARIO GUATEMALA;CENTROS PRIVADOS CONCERTADOS DE EDUCACION PRIMARIA;FUENCARRAL-EL PARDO;0
