id_local;rotulo_2021;rotulo_2022;desc_epigrafe;desc_distrito_local;es_cierre_real
10002081;LIZARRAN;PREP LA CREPE;CAFETERIA;CENTRO;1
110004130;BAR LA CAMPANA DE LEON;SALON DE JUEGOS VALI PARK;BAR CON COCINA;CARABANCHEL;1
150002347;BEEP;THE PROYECT;COMERCIO AL POR MENOR DE MATERIAL ELECTRONICO;CIUDAD LINEAL;1
270062501;LONDON CAFE;IRISH TEMPLE;BAR RESTAURANTE;RETIRO;1
270064609;CAIXA BANK;TIEMPO;INTERMEDIACION MONETARIA: BANCOS, CAJAS DE AHORRO;RETIRO;1
270134631;BANCO POPULAR ESPA/OL SA;TIERRA BURRITOS;LOCAL SIN ACTIVIDAD;MONCLOA-ARAVACA;1
270136029;BAR THOMA S;SYRA COFFEE;BAR SIN COCINA;MONCLOA-ARAVACA;1
270159477;BANKIA;CAIXABANK;INTERMEDIACION MONETARIA: BANCOS, CAJAS DE AHORRO;PUENTE DE VALLECAS;1
270168430;VIAJES PEGASUS;FIESTA DECOR;COMERCIO AL POR MENOR DE LIBROS;CIUDAD LINEAL;1
270216438;PORCELANOSA;POR DEFINIR;ACTIVIDADES ADMINISTRATIVAS Y AUXILIARES DE OFICINA Y SERVICIOS DE REPROGRAFIA;SAN BLAS-CANILLEJAS;1
270218679;OPTICA MONJE;PROGRESA;AGENCIAS DE VIAJES,  OPERADORES TURISTICOS Y SERVICIOS DE RESERVAS;TETUAN;1
270236078;FRUTAS ROSI;FRUTAVIDA;COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR;RETIRO;1
270316921;PELUQUERIA UNISEX;MARICARMEN PELUQUEROS;SERVICIO DE PELUQUERIA;CIUDAD LINEAL;1
270363992;EL COFRE DE LOS TESOROS;VIVIENDA TURÍSTICA;VIVIENDAS TURISTICAS;ARGANZUELA;1
270402947;FRUTERIA FRUJUCA;LA VEGA DE MARTA;COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR;CHAMBERI;1
270483597;LLOYDS BANK INTERNACIONAL;POR SI LLUEVE;INTERMEDIACION MONETARIA: BANCOS, CAJAS DE AHORRO;CHAMARTIN;1
270484549;JOAL SC;BAR LA VILLA;BAR CON COCINA;PUENTE DE VALLECAS;1
270488059;SAPORE DI PIZZA;SABOR CANTONES;BAR RESTAURANTE;CENTRO;1
270510316;ORTO AYUDAS;PRIM;COMERCIO AL POR MENOR DE ARTICULOS ORTOPEDICOS;PUENTE DE VALLECAS;1
270519414;GUILTY;TITA DE BUENOS AIRES;BAR CON COCINA;SALAMANCA;1
270546331;PINK GLAM;NAILS & BEAUTY (BY ALESSANDRA SANTI);CENTRO DE ESTETICA;HORTALEZA;1
270562037;O BAG;CITEES;SITUADOS: COMPLEMENTOS, BISUTERIA Y ARTESANIA;MONCLOA-ARAVACA;1
280016719;DOLCE & VEGANA;ALIMENTACION SUYAN LI;COMERCIO AL POR MENOR DE HELADOS CON OBRADOR SIN BARRA DE DEGUSTACION;ARGANZUELA;1
280018271;PARAGON;FABRICACIÓN DE PRÓTESIS DENTALES;CONSTRUCCION DE EDIFICIOS;ARGANZUELA;1
280018413;MO SUSHI;EL SIGLO XXI;BAR CON COCINA;ARGANZUELA;1
280039533;GAMO SPORT;FESTA;COMERCIO AL POR MENOR DE ARTICULOS DEPORTIVOS;LATINA;1
280041540;MODA HU;MCDONALD'S;COMERCIO AL POR MENOR DE PRENDAS DE VESTIR EN ESTABLECIMIENTOS ESPECIALIZADOS;LATINA;1
280047928;NUEVA ASIA;HIPER ASIA;COMERCIO AL POR MENOR DE PRODUCTOS ALIMENTICIOS NO PERECEDEROS ENVASADOS;FUENCARRAL-EL PARDO;1
280050625;CARLO S.L;MINI ALMACENES;COMERCIO AL POR MAYOR FRUTAS, VERDURAS Y DERIVADOS;USERA;1
280061969;BILLARES BOLAS 8;BILLARBOLA 8;JUEGOS DE AZAR Y APUESTAS DE GESTION PRIVADA (BINGOS, CASINOS, MAQUINAS TRAGAPERRAS);VILLAVERDE;0
280067355;VIAJES EL CORTE INGLES;TIENDA Y EXPOSICIÓN DE VENTANA;AGENCIAS DE VIAJES,  OPERADORES TURISTICOS Y SERVICIOS DE RESERVAS;SAN BLAS-CANILLEJAS;1
280074353;PRODUCTOS CONGELADOS CONCHI / PTOS 131 Y 132;PESCADOS LA MILAGROS, SL;COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS SIN OBRADOR;CIUDAD LINEAL;1
285001039;ASH;MIPHAI;COMERCIO AL POR MENOR DE CALZADO Y ARTICULOS DE CUERO EN ESTABLECIMIENTOS ESPECIALIZADOS;SALAMANCA;1
285005766;MELAO CAFE;PESORA CAFE;COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA CON OBRADOR;RETIRO;1
285016247;FRUTERIA ALEJANDRO;SAUVAGE SALON;COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR;FUENCARRAL-EL PARDO;1
285024957;COMIDA PREPARADA;AUTOESCUELA MONTERO ESPINOSA;ESTABLECIMIENTOS DE VENTA DE PLATOS PREPARADOS SIN OBRADOR;CARABANCHEL;1
285025133;FRUTAS DEL CAMPO;AHORRAMAS;COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR;CARABANCHEL;1
290000053;ANCIENNE. VINTAGE GALLERY;MICHONET;FABRICACION DE ARTICULOS DE JOYERIA, BISUTERIA Y SIMILARES;SALAMANCA;1
40001541;AY MADE LA FRUTA;FRUTAS Y FRUTA SAMPINMA;COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS CON OBRADOR;SALAMANCA;1
60002886;LA BOUTIQUE DE FRANCOS RODRIGUEZ;VENTURA CORDÓN;COMERCIO AL POR MENOR DE CHARCUTERIA;TETUAN;1
