id_local;rotulo_2021;rotulo_2022;desc_epigrafe;desc_distrito_local;es_cierre_real
270041394;SUPERMERCADOS CHAMPION;CARREFOUR MARKET;COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS SIN OBRADOR;CENTRO;1
270063056;BAR RESTAURANT LA ESPADA;LA INDIGNA;BAR RESTAURANTE;RETIRO;1
270078888;CAFETERIA LA TABERNA DE JANO;EL RINCON DE DAVID;BAR CON COCINA;SALAMANCA;1
270159022;ENCURTIDOS PAKO;CARLOS ALTAVILLA;COMERCIO AL POR MENOR DE FRUTOS SECOS Y VARIANTES;PUENTE DE VALLECAS;1
270184343;RUMI GARCIA ANGEL;PELUQUERÍA TAMIBARBEER;SERVICIO DE PELUQUERIA;VILLA DE VALLECAS;1
270214657;GIMNASIO FRANCISCO DEL HIERRO;LUNA NUEVA;ACTIVIDADES DE LOS GIMNASIOS;VILLAVERDE;1
270240085;CAFETERIA PIRAMIDES II;CASA RENÉ;BAR CON COCINA;LATINA;1
270271380;S ALONSO;MINI MARKET OPEN 24/7;LOCUTORIOS;CIUDAD LINEAL;1
270327061;COSETTE;NALETTA;COMERCIO AL POR MENOR DE PRENDAS DE VESTIR EN ESTABLECIMIENTOS ESPECIALIZADOS;SALAMANCA;1
270399823;AL SETTIMO CIELO PIZZA E PASTA;TABERNA LA PATOSA;BAR CON COCINA;CENTRO;1
270475495;BANCO SABADELL;KINGS ROOM;COMERCIO AL POR MENOR DE PRENDAS DE VESTIR EN ESTABLECIMIENTOS ESPECIALIZADOS;SALAMANCA;1
270480526;LAGO DE SANABRIA BAR RESTAURANTE;VAS;COMERCIO AL POR MENOR DE CALZADO Y ARTICULOS DE CUERO EN ESTABLECIMIENTOS ESPECIALIZADOS;SALAMANCA;1
270490401;UDACO;FRUTAS NOVICIADO;COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO);CENTRO;1
270515364;G STAR RAW;DECIMAS;COMERCIO AL POR MENOR DE PRENDAS DE VESTIR EN ESTABLECIMIENTOS ESPECIALIZADOS;CENTRO;1
270519414;GUILTY;TITA DE BUENOS AIRES;BAR CON COCINA;SALAMANCA;1
270534703;PASTA & SUCHI;RESTAURANTE WANG WANG;RESTAURANTE;CENTRO;1
280002078;UPDOG;UP DOG;ADIESTRAMIENTO, CUIDADO DE ANIMALES, RESIDENCIAS CANINAS Y CENTROS DE ANIMALES ABANDONADOS;SALAMANCA;0
280003952;PERGAMINO;BALAKATA;COMERCIO AL POR MENOR DE ARTICULOS DE SEGUNDA MANO;SALAMANCA;1
280007474;SOL Y SOMBRA;SIN ESPECIFICAR;COMERCIO AL POR MENOR DE PRODUCTOS DE PRECIO UNICO, BAZARES Y ASIMILABLES;CENTRO;1
280009840;ESPACIOBRUT;AURAL;COMERCIO AL POR MENOR DE LIBROS;CENTRO;1
280019920;BAFRE;MAPFRE;ACTIVIDADES INMOBILIARIAS (COMPRAVENTA, ALQUILER, AGENTES PROPIEDAD);RETIRO;1
280030414;TOLPAN PANADEROS, S.L.;D-UÑAS NAILS & BEAUTY;CENTRO DE ESTETICA;TETUAN;1
280032801;CARNICERIA CASQUERIA/ BANCAS 4 AL 10;CARNICERIA VENANCIO HERNANDEZ;COMERCIO AL POR MENOR DE CARNICERIA;CHAMBERI;1
280044200;GALERIA LA ZUA;COMERCIO  DE GALLETAS VEGANAS PARA PERROS;SALA DE EXPOSICIONES Y GALERIAS DE ARTE CON VENTA;MONCLOA-ARAVACA;1
280047551;FORJA Y FRAGUA;OBRADOR PANETI;COMERCIO AL POR MENOR DE MUEBLES;FUENCARRAL-EL PARDO;1
280050320;#¿NOMBRE?;#¿NOMBRE?;CENTRO DE ESTETICA;USERA;1
280050325;MOVISTAR;ELECTRO WORLD;COMERCIO AL POR MENOR DE PRODUCTOS DE TELEFONIA Y TELECOMUNICACIONES;USERA;1
280050354;EL FOG0N;EL FOGÓN;BAR CON COCINA;USERA;0
280052420;TOMMY MEL S/ LOC 135 Y 204D;LA RUFINA;RESTAURANTE;CARABANCHEL;1
280054390;BAZAR Y ALIMENTACI0N.;MERCADO DEL BARRIO;COMERCIO AL POR MENOR DE PRODUCTOS ALIMENTICIOS NO PERECEDEROS ENVASADOS;CARABANCHEL;1
280071334;PELUQUERIA PARA CABALLEROS;CERRADO;SERVICIO DE PELUQUERIA;CIUDAD LINEAL;1
280073029;EL RIC0N;EL RICÓN;BAR CON COCINA;CIUDAD LINEAL;0
