id_local;rotulo;norm;rotulo_t1
285033153;GIMNASIO MADFIT (FITONE GESTION DEPORTIVA S.L);GIMNASIO MADFIT FITONE GESTION DEPORTIVA;GIMNASIO MIAMI FIT FITONE GESTION DEPORTIVA
270437722;TIASOL;TIASOL;SYRA COFFEE
280019620;IMACO;IMACO;WOMEN BIKERS ZONE
285004144;HAVAIANAS;HAVAIANAS;PEPE JEANS
270323264;FIORELLI;FIORELLI;GIANELLO PIZZA
200001961;TGB-THE GOOD BURGER;TGB THE GOOD BURGER;TACO BELL
280020393;NEW BOMBAY PALACE;NEW BOMBAY PALACE;LA FRAGUA DE VITO
280019884;TOMMI LICORES;TOMMI LICORES;RITMO FRUTAS
270518924;AUTOESCUELA ABRIL;AUTOESCUELA ABRIL;NAILS BEAUTY KQ
100000410;BURGUER KING;BURGUER KING;ESCUELA INFANTIL ALVENIZ
285004127;AURA;AURA;FLOR DE ORO
270568625;AMOR DE MADRE. CAFÉ Y COMIDA CASERA PARA TOMAR Y LLEVAR;AMOR DE MADRE CAFE Y COMIDA CASERA PARA TOMAR Y LLEVAR;AMORDMADRE
270060369;PINTURAS GILGO;PINTURAS GILGO;BERMELLON
270063245;MANTEQUERIA YEBENES;MANTEQUERIA YEBENES;HERMANOS VINAGRE
270416625;BAR LINDAIRIS;BAR LINDAIRIS;BAR MADRILIM
10001163;TIMHORTONS;TIMHORTONS;TIMS
280020724;CLINICA HABLA;CLINICA HABLA;ESCUELA MUSICA
270445910;CAFETERIA CAJIDE;CAFETERIA CAJIDE;LARIMAR
160002389;POPICHE MUEBLE JUVENIL;POPICHE MUEBLE JUVENIL;COCINAS Y DISENO DE MOBILIARIO Y COMPLEMENTOS DE COCINA
270345633;ATELIER BOUTIQUE HAIR & BEAUTY;ATELIER BOUTIQUE HAIR BEAUTY;JJ MATAMOROS ORGANIC BEAUTY
270136986;HIRU-TINY;HIRU TINY;RESTAURANTE LA CRIANZA
10000825;ALIMENTACION 365 DÍAS;ALIMENTACION 365 DIAS;MARKET MINI OPEN 24 H
280017906;DELICIAS;DELICIAS;DYM2 DECORACION Y MJUEBLES
270432761;GALERIA DE ARTE HERRAIZ;GALERIA DE ARTE HERRAIZ;DOCA
280003664;TOMATE´LO;TOMATE LO;THE EMPANADAS
170000458;MADRID FRUTAS Y VERDURAS;MADRID FRUTAS Y VERDURAS;FRUTERIA AROMA TROPICAL
280050011;RESIDENCIA PARA MAYORES;RESIDENCIA PARA MAYORES;CENTRO DE DIA PRIVADO
270306403;GAMAUTO SL;GAMAUTO;LA COCINA DE DANI
280047656;CARNICERÍA FRUTERÍA EL ETTE;CARNICERIA FRUTERIA EL ETTE;CARNICERIA FRUTERIA FRUSPAIN
90000057;ZOUD CAFE;ZOUD CAFE;NIPPON
280072176;EL BAR MELLA;EL BAR MELLA;FLOW BAR
280015450;BACALAOS Y ALIMENTACION PTOS.63-64;BACALAOS Y ALIMENTACION PTOS 63 64;ALACENA ALCARRENA PTOS 63 64
170001151;PELUQUERIA SOFIA;PELUQUERIA SOFIA;PRETTY WOMAN
285011467;SEÑALISTA;SENALISTA;CENTRO DE ESTETITA AMARAN
70001429;WOK DELICIOSO;WOK DELICIOSO;CONTIGO PERU
270343938;MAXCOOP;MAXCOOP;UNIDE
280000159;LA MARTINA BUENOS AIRES;LA MARTINA BUENOS AIRES;RALPH LAUREN
40002598;MO BY MARIA ROCA+;MO BY MARIA ROCA;MERCULES
70001203;LARTESA DE GALLENT;LARTESA DE GALLENT;MAI E MATUCHA
10003020;DAYADAY;DAYADAY;BOROW
